OfficeName ( BO/SO/HO),Pincode,Sub-distname,DistrictName,StateName
Gardanibagh S.O,800001,Phulwari,PATNA,BIHAR
Navshakti S.O,800001,Phulwari,PATNA,BIHAR
Patna Collectoriate S.O,800001,Phulwari,PATNA,BIHAR
Patna G.P.O.,800001,Phulwari,PATNA,BIHAR
R.Block S.O,800001,Phulwari,PATNA,BIHAR
B.C. Road S.O,800001,Phulwari,PATNA,BIHAR
L.I.C S.O,800001,Phulwari,PATNA,BIHAR
B.P.S.C. S.O,800001,Phulwari,PATNA,BIHAR
Chiraiyatand S.O,800001,Phulwari,PATNA,BIHAR
Darul Mallick S.O,800001,Phulwari,PATNA,BIHAR
Hotel Republic S.O,800001,Phulwari,PATNA,BIHAR
Kidwaipuri S.O,800001,Phulwari,PATNA,BIHAR
Punaichak S.O,800001,Phulwari,PATNA,BIHAR
Sri Krishnapuri S.O,800001,Phulwari,PATNA,BIHAR
Indian Nation S.O,800001,Phulwari,PATNA,BIHAR
Jamal Road S.O,800001,Phulwari,PATNA,BIHAR
Mithapur S.O (Patna),800001,Phulwari,PATNA,BIHAR
New Jakkanpur S.O,800001,Phulwari,PATNA,BIHAR
Postal Park S.O,800001,Phulwari,PATNA,BIHAR
Rajapur Mainpura S.O,800001,Phulwari,PATNA,BIHAR
Bank Road S.O (Patna),800001,Phulwari,PATNA,BIHAR
C.R. Building S.O,800001,Phulwari,PATNA,BIHAR
Beur B.O,800002,Phulwari,PATNA,BIHAR
Anisabad S.O,800002,Phulwari,PATNA,BIHAR
Beur B.O,800002,Phulwari,PATNA,BIHAR
Pakri B.O,800002,Phulwari,PATNA,BIHAR
Kadamkuan S.O,800003,Phulwari,PATNA,BIHAR
J.C.Road S.O,800004,Phulwari,PATNA,BIHAR
Machhuatoli S.O,800004,Sampatchak,PATNA,BIHAR
Naya Tola S.O (Patna),800004,Sampatchak,PATNA,BIHAR
P.M.C.H S.O,800004,Sampatchak,PATNA,BIHAR
Bankipore H.O,800004,Sampatchak,PATNA,BIHAR
Patna University S.O,800005,Sampatchak,PATNA,BIHAR
M.Y.Sandalpur S.O,800006,Sampatchak,PATNA,BIHAR
Mahendru S.O,800006,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nanmuhia S.O,800007,Sampatchak,PATNA,BIHAR
Dental College S.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Gulzarbagh S.O,800007,Sampatchak,PATNA,BIHAR
Sonagopalpur B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Pachhim Darwaza S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Chowk Shikarpur S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Katra Bazar S.O (Patna),800008,Sampatchak,PATNA,BIHAR
Marufganj S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Sampatchak,PATNA,BIHAR
Sri Madhoji Mills S.O,800008,Sampatchak,PATNA,BIHAR
Machharhatta S.O,800008,Sampatchak,PATNA,BIHAR
Mahavir Asthan S.O,800008,Sampatchak,PATNA,BIHAR
Diwan Mohalla S.O,800008,Sampatchak,PATNA,BIHAR
Maranchi B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Sabalpur B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Sampatchak,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Maranchi B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Sabalpur B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Sampatchak,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Punadih B.O,800009,Patna Rural,PATNA,BIHAR
Sadaquat Ashram S.O,800010,Phulwari,PATNA,BIHAR
Makhdumpur Digha S.O,800011,Dinapur-Cum-Khagaul,PATNA,BIHAR
Dighaghat S.O,800011,Dinapur-Cum-Khagaul,PATNA,BIHAR
Digha S.O (Patna),800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Panapur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Naya Panapur B.O,800012,Phulwari,PATNA,BIHAR
Akilpur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Akilpur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Digha S.O (Patna),800012,Patna Rural,PATNA,BIHAR
Digha S.O (Patna),800012,Patna Rural,PATNA,BIHAR
Patliputra S.O,800013,Phulwari,PATNA,BIHAR
Patna Aerodrome S.O,800014,Phulwari,PATNA,BIHAR
B.V. College S.O,800014,Dinapur-Cum-Khagaul,PATNA,BIHAR
B.V. College S.O,800014,Phulwari,PATNA,BIHAR
Sheikhpura S.O (Patna),800014,Phulwari,PATNA,BIHAR
Patna Sectt. S.O,800015,Phulwari,PATNA,BIHAR
Rajendra Nagar S.O (Patna),800016,Sampatchak,PATNA,BIHAR
B.S.E. Board S.O,800017,Phulwari,PATNA,BIHAR
Bataganj S.O,800018,Dinapur-Cum-Khagaul,PATNA,BIHAR
Bataganj S.O,800018,Dinapur-Cum-Khagaul,PATNA,BIHAR
C.D.A S.O,800019,Phulwari,PATNA,BIHAR
Lohia Nagar S.O,800020,Sampatchak,PATNA,BIHAR
Chitragupta Nagar S.O,800020,Sampatchak,PATNA,BIHAR
R.M.S. Colony S.O,800020,Sampatchak,PATNA,BIHAR
Dhelwan B.O,800020,Sampatchak,PATNA,BIHAR
K.Sector S.O,800020,Sampatchak,PATNA,BIHAR
Ashok Nagar S.O (Patna),800020,Sampatchak,PATNA,BIHAR
Dhelwan B.O,800020,Sampatchak,PATNA,BIHAR
West Lohianagar S.O,800020,Sampatchak,PATNA,BIHAR
Vidyut Parisad S.O,800021,Phulwari,PATNA,BIHAR
B.G. Camp/raj Bhawan S.O,800022,Phulwari,PATNA,BIHAR
L.B.S Nagar S.O,800023,Phulwari,PATNA,BIHAR
Keshari Nagar S.O,800024,Phulwari,PATNA,BIHAR
Ashiananagar S.O,800025,Phulwari,PATNA,BIHAR
B.H.Colony S.O,800026,Sampatchak,PATNA,BIHAR
Kumhrar S.O,800026,Sampatchak,PATNA,BIHAR
New Jaganpura S.O,800027,Sampatchak,PATNA,BIHAR
Patna High Court S.O,800028,Phulwari,PATNA,BIHAR
Pahari B.O,800030,Sampatchak,PATNA,BIHAR
Pahari B.O,800030,Phulwari,PATNA,BIHAR
M.Kachhuara B.O,800030,Sampatchak,PATNA,BIHAR
M.Kachhuara B.O,800030,Sampatchak,PATNA,BIHAR
M.Kachhuara B.O,800030,Sampatchak,PATNA,BIHAR
M.Kachhuara B.O,800030,Sampatchak,PATNA,BIHAR
Bhadsara B.O,801102,Bikram,PATNA,BIHAR
Aikhan B.O,801102,Dulhin Bazar,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
Sadawah B.O,801102,Dulhin Bazar,PATNA,BIHAR
Aikhan B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Aikhan B.O,801102,Dulhin Bazar,PATNA,BIHAR
Aikhan B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Bikram,PATNA,BIHAR
Sihi B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sadawah B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sorampur B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sorampur B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Bikram,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
Jamui B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sihi B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Bharatpura B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sorampur B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sadawah B.O,801102,Dulhin Bazar,PATNA,BIHAR
Jamui B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Bikram,PATNA,BIHAR
Sadawah B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sihi B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sadawah B.O,801102,Dulhin Bazar,PATNA,BIHAR
Bharatpura B.O,801102,Dulhin Bazar,PATNA,BIHAR
Aikhan B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sohora B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Bikram,PATNA,BIHAR
Jamui B.O,801102,Dulhin Bazar,PATNA,BIHAR
Singhara B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sihi B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Bharatpura B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sohora B.O,801102,Dulhin Bazar,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
Belhauri S.O,801102,Dulhin Bazar,PATNA,BIHAR
Jamui B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sorampur B.O,801102,Dulhin Bazar,PATNA,BIHAR
M.Dihuli B.O,801102,Dulhin Bazar,PATNA,BIHAR
Jamui B.O,801102,Dulhin Bazar,PATNA,BIHAR
Bharatpura B.O,801102,Dulhin Bazar,PATNA,BIHAR
Sorampur B.O,801102,Punpun,PATNA,BIHAR
Katesar B.O,801103,Bihta,PATNA,BIHAR
Anandpur B.O,801103,Bihta,PATNA,BIHAR
Kanchanpur B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Musepur B.O,801103,Bihta,PATNA,BIHAR
Katesar B.O,801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
A. H. Guard B.O,801103,Bihta,PATNA,BIHAR
Musepur B.O,801103,Bihta,PATNA,BIHAR
P.Painathi B.O,801103,Bihta,PATNA,BIHAR
Kunjwan B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Anandpur B.O,801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Katesar B.O,801103,Bihta,PATNA,BIHAR
Bahpura B.O,801103,Maner,PATNA,BIHAR
P.Painathi B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Kunjwan B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Kanchanpur B.O,801103,Bihta,PATNA,BIHAR
Amhara B.O,801103,Bihta,PATNA,BIHAR
D.Simri B.O,801103,Bihta,PATNA,BIHAR
Bahpura B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Bahpura B.O,801103,Bihta,PATNA,BIHAR
Katesar B.O,801103,Bihta,PATNA,BIHAR
P.Painathi B.O,801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Amhara B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Kunjwan B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Musepur B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Tara Nagar B.O,801103,Bihta,PATNA,BIHAR
Katesar B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Kanchanpur B.O,801103,Bihta,PATNA,BIHAR
Bihta S.O (Patna),801103,Bihta,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Akhtiyarpur B.O,801104,Bikram,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Danara B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Gorakhari B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Arap B.O,801104,Naubatpur,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Danara B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
M.Gopalpur B.O,801104,Bikram,PATNA,BIHAR
Rajipur B.O,801104,Dulhin Bazar,PATNA,BIHAR
Akhtiyarpur B.O,801104,Paliganj,PATNA,BIHAR
Gorakhari B.O,801104,Bikram,PATNA,BIHAR
Arap B.O,801104,Naubatpur,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Rajipur B.O,801104,Paliganj,PATNA,BIHAR
Datiana B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Wazirpur B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Mahajpura B.O,801104,Bikram,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Akhtiyarpur B.O,801104,Paliganj,PATNA,BIHAR
Mahajpura B.O,801104,Bikram,PATNA,BIHAR
M.Gopalpur B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Arap B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
M.Gopalpur B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Danara B.O,801104,Bikram,PATNA,BIHAR
M.Gopalpur B.O,801104,Bikram,PATNA,BIHAR
Gorakhari B.O,801104,Bikram,PATNA,BIHAR
Datiana B.O,801104,Bikram,PATNA,BIHAR
Rajipur B.O,801104,Dulhin Bazar,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Kab B.O,801104,Dulhin Bazar,PATNA,BIHAR
Akhtiyarpur B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Dinapur-Cum-Khagaul,PATNA,BIHAR
Arap B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Rajipur B.O,801104,Dulhin Bazar,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Kab B.O,801104,Dulhin Bazar,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Akhtiyarpur B.O,801104,Bikram,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Arap B.O,801104,Naubatpur,PATNA,BIHAR
Wazirpur B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Rajipur B.O,801104,Dulhin Bazar,PATNA,BIHAR
Saidabah B.O,801104,Bikram,PATNA,BIHAR
Kab B.O,801104,Dulhin Bazar,PATNA,BIHAR
Akhtiyarpur B.O,801104,Bikram,PATNA,BIHAR
Akhtiyarpur B.O,801104,Bikram,PATNA,BIHAR
Beni Bigha B.O,801104,Bikram,PATNA,BIHAR
Saidabah B.O,801104,Dulhin Bazar,PATNA,BIHAR
Mahajpura B.O,801104,Bikram,PATNA,BIHAR
Kab B.O,801104,Dulhin Bazar,PATNA,BIHAR
Datiana B.O,801104,Bikram,PATNA,BIHAR
Bikram S.O,801104,Bikram,PATNA,BIHAR
Wazirpur B.O,801104,Bikram,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Shikarpur B.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Kurji Md. Pur B.O,801105,Phulwari,PATNA,BIHAR
Shikarpur B.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Kurji Md. Pur B.O,801105,Phulwari,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul Bazar S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Shikarpur B.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Kurji Md. Pur B.O,801105,Phulwari,PATNA,BIHAR
Khagaul S.O,801105,Dinapur-Cum-Khagaul,PATNA,BIHAR
Kurji Md. Pur B.O,801105,Naubatpur,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
K.Chauhatter B.O,801108,Maner,PATNA,BIHAR
Mehdawan B.O,801108,Maner,PATNA,BIHAR
Maner S.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Ahiyapur B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Rampur Diara B.O,801108,Maner,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Patila B.O,801108,Maner,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Rampur Diara B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Ahiyapur B.O,801108,Maner,PATNA,BIHAR
Mehdawan B.O,801108,Maner,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Ahiyapur B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Dinapur-Cum-Khagaul,PATNA,BIHAR
Hulasi Tola B.O,801108,Maner,PATNA,BIHAR
Maner S.O,801108,Maner,PATNA,BIHAR
Ram Nagar B.O,801108,Maner,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Mangarpal B.O,801108,Maner,PATNA,BIHAR
Madhopur B.O,801108,Bihta,PATNA,BIHAR
Patila B.O,801108,Maner,PATNA,BIHAR
Patila B.O,801108,Maner,PATNA,BIHAR
S.Gopalpur B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Naubatpur,PATNA,BIHAR
R.B.Jaitipur B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Karai B.O,801109,Naubatpur,PATNA,BIHAR
Nagwan B.O,801109,Naubatpur,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
Chiraura B.O,801109,Naubatpur,PATNA,BIHAR
Korawan B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
S.Gopalpur B.O,801109,Sampatchak,PATNA,BIHAR
Sarasat B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Korawan B.O,801109,Naubatpur,PATNA,BIHAR
Amarpura B.O,801109,Naubatpur,PATNA,BIHAR
Khajuri B.O,801109,Naubatpur,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
S.Gopalpur B.O,801109,Sampatchak,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Chesi B.O,801109,Naubatpur,PATNA,BIHAR
Chiraura B.O,801109,Phulwari,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
Sarasat B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Naubatpur,PATNA,BIHAR
Sarasat B.O,801109,Naubatpur,PATNA,BIHAR
Karai B.O,801109,Naubatpur,PATNA,BIHAR
Khajuri B.O,801109,Naubatpur,PATNA,BIHAR
B.Tarani B.O,801109,Naubatpur,PATNA,BIHAR
B.Tarani B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Bikram,PATNA,BIHAR
S.Gopalpur B.O,801109,Sampatchak,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Bikram,PATNA,BIHAR
Sarasat B.O,801109,Naubatpur,PATNA,BIHAR
Chesi B.O,801109,Naubatpur,PATNA,BIHAR
Ch.Dariapur B.O,801109,Naubatpur,PATNA,BIHAR
Nagwan B.O,801109,Naubatpur,PATNA,BIHAR
Ch.Dariapur B.O,801109,Naubatpur,PATNA,BIHAR
Korawan B.O,801109,Naubatpur,PATNA,BIHAR
Korawan B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Bikram,PATNA,BIHAR
R.B.Jaitipur B.O,801109,Naubatpur,PATNA,BIHAR
S.Gopalpur B.O,801109,Sampatchak,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
Chiraura B.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
Nagwan B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Ajwan B.O,801109,Naubatpur,PATNA,BIHAR
R.B.Jaitipur B.O,801109,Naubatpur,PATNA,BIHAR
Nagwan B.O,801109,Naubatpur,PATNA,BIHAR
R.B.Jaitipur B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Khajuri B.O,801109,Naubatpur,PATNA,BIHAR
R.B.Jaitipur B.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
Khajuri B.O,801109,Paliganj,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
B.Tarani B.O,801109,Naubatpur,PATNA,BIHAR
Ajwan B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
Korawan B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Naubatpur,PATNA,BIHAR
Nagwan B.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
Sahar Rampur B.O,801109,Naubatpur,PATNA,BIHAR
Naubatpur S.O,801109,Naubatpur,PATNA,BIHAR
A.Piplawan B.O,801109,Naubatpur,PATNA,BIHAR
Karai B.O,801109,Naubatpur,PATNA,BIHAR
Karanja B.O,801109,Naubatpur,PATNA,BIHAR
Banauli Khurd B.O,801110,Paliganj,PATNA,BIHAR
Sahora B.O,801110,Paliganj,PATNA,BIHAR
Masaurha B.O,801110,Paliganj,PATNA,BIHAR
Banauli Khurd B.O,801110,Paliganj,PATNA,BIHAR
Ranipur B.O,801110,Paliganj,PATNA,BIHAR
Paliganj S.O,801110,Paliganj,PATNA,BIHAR
Paliganj S.O,801110,Paliganj,PATNA,BIHAR
Murka B.O,801110,Paliganj,PATNA,BIHAR
Sidhirpur B.O,801110,Paliganj,PATNA,BIHAR
Dahia B.O,801110,Paliganj,PATNA,BIHAR
Murka B.O,801110,Paliganj,PATNA,BIHAR
Mahabalipur B.O,801110,Paliganj,PATNA,BIHAR
Paipura Kala B.O,801110,Paliganj,PATNA,BIHAR
Paipura Kala B.O,801110,Paliganj,PATNA,BIHAR
Sidhirpur B.O,801110,Paliganj,PATNA,BIHAR
Makhmilpur B.O,801110,Paliganj,PATNA,BIHAR
Khanpura B.O,801110,Paliganj,PATNA,BIHAR
Mahabalipur B.O,801110,Paliganj,PATNA,BIHAR
Sikaria B.O,801110,Paliganj,PATNA,BIHAR
Banauli Khurd B.O,801110,Paliganj,PATNA,BIHAR
Chiksi B.O,801110,Paliganj,PATNA,BIHAR
Makhmilpur B.O,801110,Paliganj,PATNA,BIHAR
Sarsi B.O,801110,Paliganj,PATNA,BIHAR
Sigori B.O,801110,Paliganj,PATNA,BIHAR
